ID_Name,Audio_Path,Video_Path,ENtire_Label,Audio_Label,Video_Label,Identi_Label,Sync_Label,Frame_Len,Audio_Len,FPS,AudioSamRate
id00374+00311_id00330_zCFFgGSIZ_s_id00188_e-vm5FB3idA_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00374/w1qI7y9AGTc/00311_id00330_zCFFgGSIZ_s_id00188_e-vm5FB3idA_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00374/w1qI7y9AGTc/00311_id00330_zCFFgGSIZ_s_id00188_e-vm5FB3idA_wavtolip.mp4,1,1,1,0,1,117.0,76800,25.0,16000
id00374+00311_id00330_zCFFgGSIZ_s_id00330_zCFFgGSIZ_s_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00374/w1qI7y9AGTc/00311_id00330_zCFFgGSIZ_s_id00330_zCFFgGSIZ_s_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00374/w1qI7y9AGTc/00311_id00330_zCFFgGSIZ_s_id00330_zCFFgGSIZ_s_wavtolip.mp4,1,1,1,0,1,149.0,97280,25.0,16000
id00634+00078_id00395_wM5kGJfTtEM_id03649_389qfFqUddI_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00634/z5t9oJizDQg/00078_id00395_wM5kGJfTtEM_id03649_389qfFqUddI_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00634/z5t9oJizDQg/00078_id00395_wM5kGJfTtEM_id03649_389qfFqUddI_wavtolip.mp4,1,1,1,0,1,119.0,78848,25.0,16000
id00634+00078_id00395_wM5kGJfTtEM_id00589_uOzKwYEVR6s_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00634/z5t9oJizDQg/00078_id00395_wM5kGJfTtEM_id00589_uOzKwYEVR6s_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00634/z5t9oJizDQg/00078_id00395_wM5kGJfTtEM_id00589_uOzKwYEVR6s_wavtolip.mp4,1,1,1,0,1,157.0,102400,25.0,16000
id00491+00122_id00633_UXrTMta1EDM_id00633_UXrTMta1EDM_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00491/ShjiTWoOtM4/00122_id00633_UXrTMta1EDM_id00633_UXrTMta1EDM_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00491/ShjiTWoOtM4/00122_id00633_UXrTMta1EDM_id00633_UXrTMta1EDM_wavtolip.mp4,1,1,1,1,1,112.0,74752,25.0,16000
id00491+00122_id00633_UXrTMta1EDM_id00188_e-vm5FB3idA_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00491/ShjiTWoOtM4/00122_id00633_UXrTMta1EDM_id00188_e-vm5FB3idA_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00491/ShjiTWoOtM4/00122_id00633_UXrTMta1EDM_id00188_e-vm5FB3idA_wavtolip.mp4,1,1,1,0,1,112.0,74752,25.0,16000
id00897+00005_id00591_1Jo8xElXQMs_id00591_1Jo8xElXQMs_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00897/0ayFw8JhoyI/00005_id00591_1Jo8xElXQMs_id00591_1Jo8xElXQMs_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00897/0ayFw8JhoyI/00005_id00591_1Jo8xElXQMs_id00591_1Jo8xElXQMs_wavtolip.mp4,1,1,1,1,1,102.0,68608,25.0,16000
id00897+00005_id00591_1Jo8xElXQMs_id00373_5NXv3Dxkd6E_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00897/0ayFw8JhoyI/00005_id00591_1Jo8xElXQMs_id00373_5NXv3Dxkd6E_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00897/0ayFw8JhoyI/00005_id00591_1Jo8xElXQMs_id00373_5NXv3Dxkd6E_wavtolip.mp4,1,1,1,0,1,259.0,168960,25.0,16000
id00328+00092_id00232_kL0cCveU1zg_id00373_5NXv3Dxkd6E_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00328/ytKnCbJSEcU/00092_id00232_kL0cCveU1zg_id00373_5NXv3Dxkd6E_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00328/ytKnCbJSEcU/00092_id00232_kL0cCveU1zg_id00373_5NXv3Dxkd6E_wavtolip.mp4,1,1,1,0,1,125.0,81920,25.0,16000
id00328+00092_id00232_kL0cCveU1zg_id00484_u7YTz8eFZv0_wavtolip+AFVF,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00328/ytKnCbJSEcU/00092_id00232_kL0cCveU1zg_id00484_u7YTz8eFZv0_wavtolip_16khz.wav,/projects/yucai2/data/FakeAVCeleb1.0/DATA/TRAIN/ARRANGED_RAW_VIDEO/FAKE_FSGAN_D_W2L/European/WOMEN/id00328/ytKnCbJSEcU/00092_id00232_kL0cCveU1zg_id00484_u7YTz8eFZv0_wavtolip.mp4,1,1,1,0,1,125.0,81920,25.0,16000
